constant,symbol,value,unit
Speed of light (in vacuum),c,299792458.0,m/s
Electron charge,e,1.60217653e-19,C
Atomic mass unit,u,1.6605389e-27,kg
Atomic mass unit (energy),u c^2,931.494043,MeV
Electron rest mass,m_e,9.1093826e-31,kg
Electron rest mass (energy),m_e c^2,0.51099892,MeV
Electron rest mass (u),m_e,0.000548579909,u
Proton rest mass,m_p,1.67262171e-27,kg
Proton rest mass (energy),m_p c^2,938.27203,MeV
Proton rest mass (u),m_p,1.0072764669,u
Neutron rest mass,m_n,1.6749273e-27,kg
Neutron rest mass (energy),m_n c^2,939.56536,MeV
Neutron rest mass (u),m_n,1.0086649156,u
Planck's constant,h,6.6260693e-34,J s
Planck's constant (eV),h,4.1356674e-15,eV s
Avogadro's constant,N_a,6.0221415e+23,1/mol
Boltzmann constant,k,1.3806505e-23,J/K
Boltzmann constant (eV),k,8.617343e-05,eV/K
Ideal gas constant (STP),R,8.314472,J/(mol K)
Electric constant,eps_0,8.854187817e-12,F/m
