Z,symbol,atomic_weight,density_g_cm3,melting_C,boiling_C,solar_system_pct,crustal_mg_per_kg,ocean_mg_per_L,note
1,H,1.00794,0.0708,-259.34,-252.87,91.0,1400,1.08e5,
2,He,4.002602,0.124901,-272.2,-268.93,8.9,0.008,7e-6,
3,Li,6.941,0.534,180.5,1342,1.86e-7,20,0.18,
4,Be,9.012182,1.85,1287,2471,2.38e-9,2.8,5.6e-6,
5,B,10.811,2.37,2075,4000,6.9e-8,10,4.44,
6,C,12.0107,2.2670,4492,3842,0.033,200,28,symbol marker a; density:15◦; melting:t; boiling:ss
7,N,14.00674,0.807,-210.00,-195.79,0.0102,19,0.5,
8,O,15.9994,1.141,-218.79,-182.95,0.078,4.61e5,8.57e5,
9,F,18.9984032,1.50,-219.62,-188.12,2.7e-6,585,1.3,
10,Ne,20.1797,1.204,-248.59,-246.08,0.0112,0.005,1.2e-4,
11,Na,22.989770,0.97,97.80,883,0.000187,2.36e4,1.08e4,
12,Mg,24.3050,0.74,650,1090,0.00350,2.33e4,1290,
13,Al,26.981538,2.70,660.32,2519,0.000277,8.23e4,0.002,
14,Si,28.0855,2.3296,1414,3265,0.00326,2.82e5,2.2,
15,P,30.973761,1.82,44.15,280.5,3.4e-5,1050,0.06,
16,S,32.066,2.067,115.21,444.60,0.00168,350,905,
17,Cl,35.4527,1.56,-101.5,-34.04,1.7e-5,145,1.94e4,
18,Ar,39.948,1.396,-189.35,-185.85,0.000329,3.5,0.45,
19,K,39.0983,0.89,63.38,759,1.23e-5,2.09e4,399,
20,Ca,40.078,1.54,842,1484,0.000199,4.15e4,412,
21,Sc,44.955910,2.99,1541,2836,1.12e-7,22,6e-7,
22,Ti,47.867,4.5,1668,3287,7.8e-6,5650,0.001,
23,V,50.9415,6.0,1910,3407,9.6e-7,120,0.0025,
24,Cr,51.9961,7.15,1907,2671,4.4e-5,102,3e-4,
25,Mn,54.938049,7.3,1246,2061,3.1e-5,950,2e-4,
26,Fe,55.845,7.875,1538,2861,0.00294,5.63e4,0.002,
27,Co,58.933200,8.86,1495,2927,7.3e-6,25,2e-5,
28,Ni,58.6934,8.912,1455,2913,0.000161,84,5.6e-4,
29,Cu,63.546,8.933,1084.62,2562,1.70e-6,60,2.5e-4,
30,Zn,65.39,7.134,419.53,907,4.11e-6,70,0.0049,
31,Ga,69.723,5.91,29.76,2204,1.23e-7,19,3e-5,
32,Ge,72.61,5.323,938.25,2833,3.9e-7,1.5,5e-5,
33,As,74.92160,5.776,817,614,2.1e-8,1.8,0.0037,density:26◦; melting:t; boiling:s
34,Se,78.96,4.809,221,685,2.03e-7,0.05,2e-4,density:26◦
35,Br,79.904,3.11,-7.2,58.8,3.8e-8,2.4,67.3,
36,Kr,83.80,2.418,-157.36,-153.22,1.5e-7,1e-4,2.1e-4,
37,Rb,85.4678,1.53,39.31,688,2.31e-8,90,0.12,
38,Sr,87.62,2.64,777,1382,7.7e-8,370,7.9,
39,Y,88.90585,4.47,1522,3345,1.51e-8,33,1.3e-5,
40,Zr,91.224,6.52,1855,4409,3.72e-8,165,3e-5,
