nuclide,Z,A,symbol,metastable,half_life,abundance_pct,decay_modes,note
1H,1,1,H,,stable,99.9885,,
2H,1,2,H,,stable,0.0115,,
3H,1,3,H,,12.32 y,,β-(100),
3He,2,3,He,,stable,0.000137,,
4He,2,4,He,,stable,99.999863,,
6Li,3,6,Li,,stable,7.59,,
7Li,3,7,Li,,stable,92.41,,
7Be,4,7,Be,,53.22 d,,EC(100),
9Be,4,9,Be,,stable,100,,
10Be,4,10,Be,,1.51 My,,β-(100),
10B,5,10,B,,stable,19.9,,
11B,5,11,B,,stable,80.1,,
12C,6,12,C,,stable,98.93,,
13C,6,13,C,,stable,1.07,,
14C,6,14,C,,5.70 ky,,β-(100),
14N,7,14,N,,stable,99.632,,
15N,7,15,N,,stable,0.368,,
16O,8,16,O,,stable,99.757,,
17O,8,17,O,,stable,0.038,,
18O,8,18,O,,stable,0.205,,
19F,9,19,F,,stable,100,,
20Ne,10,20,Ne,,stable,90.48,,
21Ne,10,21,Ne,,stable,0.27,,
22Ne,10,22,Ne,,stable,9.25,,
22Na,11,22,Na,,2.6019 y,,β+(100),
23Na,11,23,Na,,stable,100,,
24Na,11,24,Na,,14.9590 h,,β-(100),
24Mg,12,24,Mg,,stable,78.99,,
25Mg,12,25,Mg,,stable,10.00,,
26Mg,12,26,Mg,,stable,11.01,,
28Mg,12,28,Mg,,20.915 h,,β-(100),
26Al,13,26,Al,,717 ky,,β+(100),
27Al,13,27,Al,,stable,100,,
28Si,14,28,Si,,stable,92.23,,
29Si,14,29,Si,,stable,4.683,,
30Si,14,30,Si,,stable,3.087,,
32Si,14,32,Si,,132 y,,β-(100),
31P,15,31,P,,stable,100,,
32P,15,32,P,,14.263 d,,β-(100),
33P,15,33,P,,25.34 d,,β-(100),
32S,16,32,S,,stable,95.02,,printed 95.02; should be 94.93 (see README errata)
33S,16,33,S,,stable,0.76,,
34S,16,34,S,,stable,4.29,,
35S,16,35,S,,87.51 d,,β-(100),
36S,16,36,S,,stable,0.02,,
35Cl,17,35,Cl,,stable,75.78,,
36Cl,17,36,Cl,,301 ky,,β-(98.1)β+(1.9),
37Cl,17,37,Cl,,stable,24.22,,
36Ar,18,36,Ar,,stable,0.3365,,
37Ar,18,37,Ar,,35.04 d,,EC(100),
38Ar,18,38,Ar,,stable,0.0632,,
39Ar,18,39,Ar,,269 y,,β-(100),
40Ar,18,40,Ar,,stable,99.6003,,
42Ar,18,42,Ar,,32.9 y,,β-(100),
39K,19,39,K,,stable,93.2581,,
40K,19,40,K,,1.251 Gy,0.0117,β-(89.28)β+(10.72),
41K,19,41,K,,stable,6.7302,,
42K,19,42,K,,12.360 h,,β-(100),
43K,19,43,K,,22.3 h,,β-(100),
40Ca,20,40,Ca,,stable,96.941,,
41Ca,20,41,Ca,,102 ky,,EC(100),
42Ca,20,42,Ca,,stable,0.647,,
43Ca,20,43,Ca,,stable,0.135,,
44Ca,20,44,Ca,,stable,2.086,,
45Ca,20,45,Ca,,162.67 d,,β-(100),
46Ca,20,46,Ca,,stable,0.004,,
47Ca,20,47,Ca,,4.536 d,,β-(100),
48Ca,20,48,Ca,,53 Ey,0.187,,
43Sc,21,43,Sc,,3.891 h,,β+(100),
44Sc,21,44,Sc,,3.97 h,,β+(100),
44mSc,21,44,Sc,m,58.61 h,,IT(98.80)β+(1.20),
45Sc,21,45,Sc,,stable,100,,
46Sc,21,46,Sc,,83.79 d,,β-(100),
47Sc,21,47,Sc,,3.3492 d,,β-(100),
48Sc,21,48,Sc,,43.67 h,,β-(100),
44Ti,22,44,Ti,,60.0 y,,EC(100),
46Ti,22,46,Ti,,stable,8.25,,
47Ti,22,47,Ti,,stable,7.44,,
48Ti,22,48,Ti,,stable,73.72,,
49Ti,22,49,Ti,,stable,5.41,,
50Ti,22,50,Ti,,stable,5.18,,
48V,23,48,V,,15.9735 d,,β+(100),
49V,23,49,V,,330 d,,EC(100),
50V,23,50,V,,150 Py,0.250,β+(83)β-(17),
51V,23,51,V,,stable,99.750,,
48Cr,24,48,Cr,,21.56 h,,β+(100),
50Cr,24,50,Cr,,stable,4.345,,
51Cr,24,51,Cr,,27.703 d,,EC(100),
52Cr,24,52,Cr,,stable,83.789,,
53Cr,24,53,Cr,,stable,9.501,,
54Cr,24,54,Cr,,stable,2.365,,
52Mn,25,52,Mn,,5.591 d,,β+(100),
53Mn,25,53,Mn,,3.7 My,,EC(100),
54Mn,25,54,Mn,,312.03 d,,EC(100),
55Mn,25,55,Mn,,stable,100,,
56Mn,25,56,Mn,,2.5789 h,,β-(100),
52Fe,26,52,Fe,,8.275 h,,β+(100),
54Fe,26,54,Fe,,stable,5.845,,
55Fe,26,55,Fe,,2.737 y,,EC(100),
56Fe,26,56,Fe,,stable,91.754,,
57Fe,26,57,Fe,,stable,2.119,,
58Fe,26,58,Fe,,stable,0.282,,
59Fe,26,59,Fe,,44.495 d,,β-(100),
60Fe,26,60,Fe,,1.5 My,,β-(100),
55Co,27,55,Co,,17.53 h,,β+(100),
56Co,27,56,Co,,77.23 d,,β+(100),
57Co,27,57,Co,,271.74 d,,EC(100),
58Co,27,58,Co,,70.86 d,,β+(100),
58mCo,27,58,Co,m,9.04 h,,IT(100),
59Co,27,59,Co,,stable,100,,
60Co,27,60,Co,,5.2714 y,,β-(100),
61Co,27,61,Co,,1.650 h,,β-(100),
56Ni,28,56,Ni,,6.075 d,,β+(100),
57Ni,28,57,Ni,,35.60 h,,β+(100),
58Ni,28,58,Ni,,stable,68.077,,
59Ni,28,59,Ni,,101 ky,,β+(100),
60Ni,28,60,Ni,,stable,26.223,,
61Ni,28,61,Ni,,stable,1.140,,
62Ni,28,62,Ni,,stable,3.6345,,
63Ni,28,63,Ni,,100.1 y,,β-(100),
64Ni,28,64,Ni,,stable,0.9256,,
65Ni,28,65,Ni,,2.5172 h,,β-(100),
66Ni,28,66,Ni,,54.6 h,,β-(100),
61Cu,29,61,Cu,,3.333 h,,β+(100),
63Cu,29,63,Cu,,stable,69.17,,
64Cu,29,64,Cu,,12.700 h,,β+(61.0)β-(39.0),
65Cu,29,65,Cu,,stable,30.83,,
67Cu,29,67,Cu,,61.83 h,,β-(100),
62Zn,30,62,Zn,,9.186 h,,β+(100),
64Zn,30,64,Zn,,stable,48.63,,
65Zn,30,65,Zn,,244.06 d,,β+(100),
66Zn,30,66,Zn,,stable,27.9,,
67Zn,30,67,Zn,,stable,4.10,,
68Zn,30,68,Zn,,stable,18.75,,
69mZn,30,69,Zn,m,13.86 h,,IT(≃100)β-(0.033),
70Zn,30,70,Zn,,stable,0.62,,
71mZn,30,71,Zn,m,3.96 h,,β-(≃100),
72Zn,30,72,Zn,,46.5 h,,β-(100),
66Ga,31,66,Ga,,9.49 h,,β+(100),
67Ga,31,67,Ga,,3.2612 d,,EC(100),
69Ga,31,69,Ga,,stable,60.108,,
71Ga,31,71,Ga,,stable,39.892,,
72Ga,31,72,Ga,,14.10 h,,β-(100),
73Ga,31,73,Ga,,4.86 h,,β-(100),
66Ge,32,66,Ge,,2.26 h,,β+(100),
68Ge,32,68,Ge,,270.95 d,,EC(100),
69Ge,32,69,Ge,,39.05 h,,β+(100),
70Ge,32,70,Ge,,stable,20.84,,
71Ge,32,71,Ge,,11.43 d,,EC(100),
72Ge,32,72,Ge,,stable,27.54,,
73Ge,32,73,Ge,,stable,7.73,,
74Ge,32,74,Ge,,stable,36.28,,
76Ge,32,76,Ge,,1.58 Zy,7.61,,
77Ge,32,77,Ge,,11.30 h,,β-(100),
71As,33,71,As,,65.28 h,,β+(100),
72As,33,72,As,,26.0 h,,β+(100),
73As,33,73,As,,80.30 d,,EC(100),
74As,33,74,As,,17.77 d,,β+(66)β-(34),
75As,33,75,As,,stable,100,,
76As,33,76,As,,1.0778 d,,β-(≃100)EC(<0.02),
77As,33,77,As,,38.83 h,,β-(100),
72Se,34,72,Se,,8.40 d,,EC(100),
73Se,34,73,Se,,7.15 h,,β+(100),
74Se,34,74,Se,,stable,0.89,,
75Se,34,75,Se,,119.79 d,,EC(100),
76Se,34,76,Se,,stable,9.37,,
77Se,34,77,Se,,stable,7.63,,
78Se,34,78,Se,,stable,23.77,,
79Se,34,79,Se,,295 ky,,β-(100),
80Se,34,80,Se,,stable,49.61,,
82Se,34,82,Se,,97 Ey,8.73,,
76Br,35,76,Br,,16.2 h,,β+(100),
77Br,35,77,Br,,57.036 h,,β+(100),
79Br,35,79,Br,,stable,50.69,,
80mBr,35,80,Br,m,4.4205 h,,IT(100),
81Br,35,81,Br,,stable,49.31,,
82Br,35,82,Br,,35.282 h,,β-(100),
83Br,35,83,Br,,2.40 h,,β-(100),
76Kr,36,76,Kr,,14.8 h,,β+(100),
78Kr,36,78,Kr,,stable,0.35,,
79Kr,36,79,Kr,,35.04 h,,β+(100),
80Kr,36,80,Kr,,stable,2.28,,
81Kr,36,81,Kr,,229 ky,,EC(100),
82Kr,36,82,Kr,,stable,11.58,,
83Kr,36,83,Kr,,stable,11.49,,
83mKr,36,83,Kr,m,1.83 h,,IT(100),
84Kr,36,84,Kr,,stable,57.0,,
85Kr,36,85,Kr,,10.776 y,,β-(100),
85mKr,36,85,Kr,m,4.480 h,,β-(78.6)IT(21.4),
86Kr,36,86,Kr,,stable,17.3,,
88Kr,36,88,Kr,,2.84 h,,β-(100),
81Rb,37,81,Rb,,4.576 h,,β+(100),
82mRb,37,82,Rb,m,6.472 h,,β+(≃100)IT(<0.33),
83Rb,37,83,Rb,,86.2 d,,EC(100),
84Rb,37,84,Rb,,32.77 d,,β+(96.2)β-(3.8),
85Rb,37,85,Rb,,stable,72.17,,
86Rb,37,86,Rb,,18.642 d,,β-(≃100)EC(0.0052),
87Rb,37,87,Rb,,49.23 Gy,27.83,β-(100),
82Sr,38,82,Sr,,25.36 d,,EC(100),
83Sr,38,83,Sr,,32.41 h,,β+(100),
