nuclide,Z,A,symbol,abundance_pct,half_life,reaction,sigma_b
1H,1,1,H,99.985,,gamma,0.333
1H,1,1,H,99.985,,s,30.5
1H,1,1,H,99.985,,t,30.9
2H,1,2,H,0.015,,gamma,0.000506
2H,1,2,H,0.015,,s,4.26
2H,1,2,H,0.015,,t,4.3
3H,1,3,H,,12.33 y,gamma,6e-06
3H,1,3,H,,12.33 y,s,1.53
3H,1,3,H,,12.33 y,t,1.53
6Li,3,6,Li,7.5,,alpha,941
6Li,3,6,Li,7.5,,gamma,0.0386
6Li,3,6,Li,7.5,,t,943
7Li,3,7,Li,92.5,,gamma,0.0457
7Li,3,7,Li,92.5,,s,1.04
7Li,3,7,Li,92.5,,t,1.09
10B,5,10,B,19.6,,alpha,3840
10B,5,10,B,19.6,,gamma,0.5
10B,5,10,B,19.6,,t,3847
11B,5,11,B,80.4,,gamma,0.00553
11B,5,11,B,80.4,,s,5.08
11B,5,11,B,80.4,,t,5.08
12C,6,12,C,98.89,,s,4.74
12C,6,12,C,98.89,,gamma,0.0034
12C,6,12,C,98.89,,t,4.74
13C,6,13,C,1.11,,gamma,0.00137
13C,6,13,C,1.11,,t,4.19
14C,6,14,C,,5736 y,gamma,1e-06
14N,7,14,N,99.64,,p,1.83
14N,7,14,N,99.64,,gamma,0.075
14N,7,14,N,99.64,,t,12.2
15N,7,15,N,0.36,,gamma,2.4e-05
15N,7,15,N,0.36,,s,4.58
15N,7,15,N,0.36,,t,4.58
16O,8,16,O,99.756,,gamma,0.00019
16O,8,16,O,99.756,,s,4.03
16O,8,16,O,99.756,,t,4.03
17O,8,17,O,0.039,,alpha,0.235
17O,8,17,O,0.039,,gamma,0.00384
17O,8,17,O,0.039,,t,4.17
18O,8,18,O,0.205,,gamma,0.00016
232Th,90,232,Th,100,1.405e10 y,f,2.5e-06
232Th,90,232,Th,100,1.405e10 y,gamma,5.13
232Th,90,232,Th,100,1.405e10 y,t,20.4
233Th,90,233,Th,,22.3 m,f,15
233Th,90,233,Th,,22.3 m,gamma,1450
233Th,90,233,Th,,22.3 m,t,1478
233U,92,233,U,,1.592e5 y,f,529
233U,92,233,U,,1.592e5 y,gamma,46
233U,92,233,U,,1.592e5 y,t,588
234U,92,234,U,0.0055,2.455e5 y,f,0.465
234U,92,234,U,0.0055,2.455e5 y,gamma,103
234U,92,234,U,0.0055,2.455e5 y,t,116
235U,92,235,U,0.7200,7.038e8 y,f,587
235U,92,235,U,0.7200,7.038e8 y,gamma,99.3
235U,92,235,U,0.7200,7.038e8 y,t,700
236U,92,236,U,,2.342e7 y,f,0.047
236U,92,236,U,,2.342e7 y,gamma,5.14
236U,92,236,U,,2.342e7 y,t,14.1
238U,92,238,U,99.2745,4.468e9 y,f,1.18e-05
238U,92,238,U,99.2745,4.468e9 y,gamma,2.73
238U,92,238,U,99.2745,4.468e9 y,t,12.2
239U,92,239,U,,23.45 m,f,14
239U,92,239,U,,23.45 m,gamma,22
239Pu,94,239,Pu,,24110 y,f,749
239Pu,94,239,Pu,,24110 y,gamma,271
239Pu,94,239,Pu,,24110 y,t,1028
240Pu,94,240,Pu,,6564 y,f,0.064
240Pu,94,240,Pu,,6564 y,gamma,289
240Pu,94,240,Pu,,6564 y,t,290
241Pu,94,241,Pu,,14.35 y,f,1015
241Pu,94,241,Pu,,14.35 y,gamma,363
241Pu,94,241,Pu,,14.35 y,t,1389
242Pu,94,242,Pu,,3.733e5 y,f,0.001
242Pu,94,242,Pu,,3.733e5 y,gamma,19.3
242Pu,94,242,Pu,,3.733e5 y,t,27
