activated_nuclide,activated_half_life,parent_nuclide,parent_abundance_pct,activation_sigma_b
12B,0.0202 s,11B,80.4,0.0055
16N,7.13 s,15N,0.38,2.4e-05
19O,26.91 s,18O,0.205,0.00016
24Na,14.96 h,23Na,100,0.53
28Al,2.241 m,27Al,100,0.231
31Si,2.62 h,30Si,3.12,0.107
38Cl,37.24 m,37Cl,24.23,0.433
41Ar,1.822 h,40Ar,99.59,0.66
42K,12.36 h,41K,6.7,1.46
46Sc,83.81 d,45Sc,100,27.2
47Ca,4.536 d,46Ca,0.0033,0.74
49Ca,8.715 m,48Ca,0.185,1.09
51Cr,27.70 d,50Cr,4.35,15.9
56Mn,2.579 h,55Mn,100,13.3
59Fe,44.50 d,58Fe,0.31,1.28
60mCo,10.47 m,59Co,100,20.4
60Co,5.271 y,59Co,100,16.8
75Se,119.8 d,74Se,0.87,51.8
76As,1.078 d,75As,100,4.5
95Zr,64.02 d,94Zr,17.5,0.0499
97Zr,16.91 h,96Zr,2.8,0.0229
99Mo,65.94 h,98Mo,23.4,0.13
99mTc,6.01 h,99Mo,,
108Ag,2.37 m,107Ag,51.83,37.6
116mIn,54.4 m,115In,95.7,202
198Au,2.6952 d,197Au,100,98.65
203Hg,46.61 d,202Hg,29.8,4.89
233Th,22.3 m,232Th,100,7.37
233Pa,26.97 d,233Th,,1500
239U,23.45 m,238U,99.2745,2.68
239Np,2.357 d,239U,,22
