E_MeV,edge,mu_c_cm2_g,mu_ph_cm2_g,mu_pp_cm2_g,mu_cm2_g,mu_tr_cm2_g,mu_en_cm2_g
0.0010,,0.01038,3605,0,3605,3599,3599
0.0015,,0.02116,1190,0,1190,1188,1188
0.0020,,0.0334,526.7,0,526.7,526.3,526.2
0.0030,,0.05748,161.6,0,161.6,161.5,161.4
0.00320,,0.06196,133.1,0,133.2,133,133
0.00320,K,0.06196,147.6,0,147.7,146,146
0.0040,,0.0777,77.13,0,77.21,76.37,76.36
0.0050,,0.09331,39.66,0,39.75,39.32,39.31
0.0060,,0.1051,22.88,0,22.99,22.71,22.7
0.0080,,0.1213,9.505,0,9.626,9.448,9.446
0.010,,0.1316,4.766,0,4.897,4.743,4.742
0.015,,0.1471,1.335,0,1.482,1.334,1.334
0.020,,0.1556,0.5347,0,0.6904,0.5391,0.5389
0.030,,0.1625,0.1451,0,0.3076,0.1538,0.1537
0.040,,0.1631,0.05704,0,0.2202,0.06836,0.06833
0.050,,0.1613,0.02755,0,0.1889,0.041,0.04098
0.060,,0.1586,0.01517,0,0.1738,0.03042,0.03041
0.080,,0.1523,0.005912,0,0.1582,0.02408,0.02407
0.10,,0.146,0.002847,0,0.1489,0.02326,0.02325
0.15,,0.1324,0.0007602,0,0.1332,0.02497,0.02496
0.20,,0.1217,0.0003026,0,0.122,0.02674,0.02672
0.30,,0.1061,8.604e-05,0,0.1061,0.02875,0.02872
0.40,,0.09511,3.698e-05,0,0.09514,0.02953,0.02949
0.50,,0.08687,1.998e-05,0,0.08689,0.02971,0.02966
0.60,,0.08039,1.246e-05,0,0.0804,0.02958,0.02953
0.80,,0.07064,6.296e-06,0,0.07065,0.02889,0.02882
1.00,,0.06352,3.914e-06,0,0.06353,0.02797,0.02789
1.25,,0.05682,2.545e-06,1.781e-05,0.05684,0.02675,0.02666
1.50,,0.05162,1.798e-06,9.848e-05,0.05172,0.02557,0.02547
2.00,,0.04407,1.128e-06,0.0003918,0.04446,0.02359,0.02345
3.00,,0.03467,6.276e-07,0.001132,0.0358,0.02076,0.02057
4.00,,0.02892,4.297e-07,0.001866,0.03079,0.01894,0.0187
5.00,,0.02497,3.252e-07,0.002536,0.02751,0.0177,0.0174
6.00,,0.02207,2.611e-07,0.003147,0.02522,0.01683,0.01647
8.00,,0.01806,1.869e-07,0.004196,0.02225,0.01571,0.01525
10.0,,0.01538,1.453e-07,0.005067,0.02045,0.01506,0.0145
15.0,,0.01138,9.323e-08,0.006717,0.0181,0.01434,0.01353
20.0,,0.009134,6.859e-08,0.00792,0.01705,0.01415,0.01311
30.0,,0.006652,4.483e-08,0.009629,0.01628,0.01427,0.01277
40.0,,0.005286,3.329e-08,0.01082,0.0161,0.01456,0.01262
50.0,,0.004411,2.647e-08,0.01173,0.01614,0.01488,0.01252
60.0,,0.003801,2.197e-08,0.01245,0.01625,0.01519,0.01242
80.0,,0.002998,1.64e-08,0.01354,0.01654,0.01572,0.0122
100.0,,0.002488,1.308e-08,0.01435,0.01683,0.01617,0.01195
