E_MeV,edge,mu_c_cm2_g,mu_ph_cm2_g,mu_pp_cm2_g,mu_cm2_g,mu_tr_cm2_g,mu_en_cm2_g
0.00100,,0.01117,3443,0,3443,3436,3436
0.00104,,0.02098,3144,0,3144,3138,3138
0.00107,,0.01249,2871,0,2871,2865,2865
0.00107,K,0.01249,2972,0,2972,2964,2964
0.00118,,0.03115,2300,0,2300,2295,2295
0.00131,,0.01701,1775,0,1775,1771,1771
0.00131,K,0.01701,1787,0,1787,1783,1783
0.00150,,0.02098,1233,0,1233,1231,1230
0.00156,,0.0222,1110,0,1110,1108,1108
0.00156,K,0.0222,1274,0,1274,1266,1266
0.00169,,0.05019,1025,0,1025,1019,1019
0.00184,,0.0279,822.3,0,822.3,817.7,817.6
0.00184,K,0.0279,1733,0,1733,1687,1687
0.0020,,0.03115,1454,0,1454,1418,1417
0.00247,,0.04044,847.9,0,847.9,829.9,829.9
0.00247,K,0.04044,850.1,0,850.1,832,831.9
0.0030,,0.05019,496.6,0,496.6,487.8,487.8
0.00361,,0.06036,299.8,0,299.9,295.4,295.3
0.00361,K,0.06036,320.3,0,320.4,313.3,313.3
0.0040,,0.06635,241,0,241,236.1,236.1
0.00404,,0.06691,234.7,0,234.8,230.1,230
0.00404,K,0.06691,309.4,0,309.5,293.8,293.8
0.0050,,0.07972,173.3,0,173.4,165.9,165.9
0.0060,,0.09069,104.3,0,104.4,100.5,100.5
0.00711,,0.1007,64.48,0,64.58,62.46,62.44
0.00711,K,0.1007,68.84,0,68.94,65.49,65.48
0.0080,,0.1073,49.37,0,49.48,47.18,47.16
0.010,,0.119,25.99,0,26.11,25.03,25.02
0.015,,0.1372,7.891,0,8.028,7.689,7.685
0.020,,0.147,3.326,0,3.473,3.265,3.262
0.030,,0.1557,0.9629,0,1.119,0.958,0.9571
0.040,,0.1579,0.3942,0,0.5521,0.4011,0.4007
0.050,,0.1573,0.1959,0,0.3533,0.2075,0.2072
0.060,,0.1555,0.1103,0,0.2658,0.1246,0.1244
0.080,,0.1503,0.04432,0,0.1947,0.06215,0.06206
0.10,,0.1447,0.02181,0,0.1665,0.04208,0.04203
0.15,,0.1319,0.006028,0,0.1379,0.03023,0.03019
0.20,,0.1214,0.002447,0,0.1239,0.02892,0.02887
0.30,,0.106,0.000712,0,0.1068,0.02942,0.02937
0.40,,0.09517,0.00031,0,0.09548,0.02985,0.02978
0.50,,0.08699,0.0001687,0,0.08716,0.02992,0.02983
0.60,,0.08051,0.0001057,0,0.08062,0.02974,0.02964
0.80,,0.07077,5.359e-05,0,0.07083,0.029,0.02888
1.00,,0.06366,3.332e-05,0,0.06369,0.02806,0.02792
1.25,,0.05693,2.163e-05,2.904e-05,0.05698,0.02683,0.02666
1.50,,0.05174,1.542e-05,0.0001575,0.05191,0.02567,0.02548
2.00,,0.04416,9.586e-06,0.0006212,0.0448,0.02376,0.02353
3.00,,0.03474,5.267e-06,0.001775,0.03652,0.02124,0.02091
4.00,,0.02898,3.576e-06,0.002899,0.03189,0.01975,0.01934
5.00,,0.02503,2.692e-06,0.003915,0.02895,0.01884,0.01832
6.00,,0.02212,2.153e-06,0.004833,0.02696,0.01826,0.01764
8.00,,0.0181,1.533e-06,0.0064,0.0245,0.01766,0.01684
10.0,,0.01541,1.187e-06,0.007696,0.02311,0.01745,0.01643
15.0,,0.01141,7.581e-07,0.01013,0.02153,0.01754,0.01602
20.0,,0.009156,5.561e-07,0.01189,0.02105,0.01794,0.01592
30.0,,0.006665,3.625e-07,0.01438,0.02105,0.01887,0.01588
40.0,,0.005296,2.689e-07,0.01611,0.02141,0.01973,0.01581
50.0,,0.004422,2.136e-07,0.01742,0.02184,0.02046,0.01566
60.0,,0.003808,1.772e-07,0.01845,0.02226,0.02109,0.01546
80.0,,0.003004,1.321e-07,0.02,0.023,0.02211,0.01497
100.0,,0.002494,1.053e-07,0.02112,0.02361,0.02288,0.01443
