E_MeV,edge,mu_c_cm2_g,mu_ph_cm2_g,mu_pp_cm2_g,mu_cm2_g,mu_tr_cm2_g,mu_en_cm2_g
0.0010,,0.008776,9080,0,9080,9052,9052
0.0015,,0.0153,3395,0,3395,3388,3388
0.0020,,0.02124,1622,0,1622,1620,1620
0.0030,,0.03206,554.2,0,554.3,553.6,553.5
0.0040,,0.04212,253.8,0,253.9,253.6,253.6
0.0050,,0.05133,137.3,0,137.4,137.2,137.2
0.0060,,0.05966,82.72,0,82.78,82.68,82.65
0.00711,,0.06798,51.38,0,51.44,51.35,51.33
0.00711,K,0.06798,405.8,0,405.9,297.8,297.8
0.0080,,0.07395,304,0,304,231.6,231.6
0.010,,0.08541,169.3,0,169.4,136.9,136.9
0.015,,0.1047,56.23,0,56.33,48.99,48.96
0.020,,0.1162,25.05,0,25.16,22.62,22.6
0.030,,0.1286,7.762,0,7.891,7.266,7.251
0.040,,0.1338,3.316,0,3.45,3.164,3.155
0.050,,0.1355,1.698,0,1.833,1.643,1.638
0.060,,0.1355,0.9776,0,1.113,0.9591,0.9555
0.080,,0.1332,0.406,0,0.5391,0.4122,0.4104
0.10,,0.1296,0.2044,0,0.334,0.2189,0.2177
0.15,,0.12,0.05861,0,0.1786,0.0801,0.07961
0.20,,0.1114,0.02432,0,0.1357,0.04856,0.04825
0.30,,0.09788,0.007265,0,0.1051,0.03386,0.03361
0.40,,0.0881,0.003209,0,0.09131,0.03064,0.03039
0.50,,0.08065,0.001762,0,0.08241,0.02941,0.02914
0.60,,0.07472,0.001109,0,0.07583,0.02866,0.02836
0.80,,0.06574,0.000565,0,0.06631,0.02749,0.02714
1.00,,0.05916,0.0003515,0,0.05951,0.02642,0.02603
1.25,,0.05292,0.0002277,7.031e-05,0.05322,0.02517,0.02472
1.50,,0.04811,0.0001627,0.000358,0.04863,0.0241,0.0236
2.00,,0.04107,0.0001003,0.001364,0.04254,0.02258,0.02199
3.00,,0.03232,5.448e-05,0.003792,0.03616,0.02122,0.02042
4.00,,0.02697,3.669e-05,0.006085,0.03309,0.02094,0.0199
5.00,,0.02329,2.746e-05,0.008124,0.03144,0.02112,0.01983
6.00,,0.02058,2.188e-05,0.009951,0.03056,0.02154,0.01997
8.00,,0.01684,1.548e-05,0.01305,0.02991,0.02264,0.0205
10.00,,0.01434,1.196e-05,0.01559,0.02994,0.02381,0.02108
15.0,,0.01061,7.592e-06,0.0203,0.03092,0.02646,0.02221
20.0,,0.00852,5.554e-06,0.02371,0.03223,0.02869,0.02292
30.0,,0.006202,3.61e-06,0.02848,0.03469,0.03215,0.02346
40.0,,0.004929,2.673e-06,0.03173,0.03666,0.03466,0.02333
50.0,,0.004114,2.122e-06,0.03416,0.03828,0.03663,0.02292
60.0,,0.003544,1.759e-06,0.03607,0.03961,0.0382,0.02236
80.0,,0.002796,1.311e-06,0.03892,0.04172,0.04063,0.02115
100.0,,0.002321,1.045e-06,0.04097,0.04329,0.04239,0.01997
