E_MeV,edge,mu_c_cm2_g,mu_ph_cm2_g,mu_pp_cm2_g,mu_cm2_g,mu_tr_cm2_g,mu_en_cm2_g
0.0010,,0.003586,5198,0,5198,5197,5197
0.0015,,0.0066,2344,0,2344,2344,2344
0.0020,,0.00962,1274,0,1274,1274,1274
0.00248,,0.01241,789.8,0,789.8,789.7,789.5
0.00248,M5,0.01241,1386,0,1386,1367,1366
0.00253,,0.0066,1714,0,1714,1683,1682
0.00259,,0.01298,1933,0,1933,1895,1895
0.00259,M4,0.01298,2447,0,2447,2390,2390
0.0030,,0.01525,1954,0,1955,1913,1913
0.00307,,0.0156,1847,0,1847,1809,1808
0.00307,M3,0.0156,2136,0,2136,2091,2090
0.00330,,0.01684,1784,0,1784,1749,1748
0.00355,,0.01814,1486,0,1486,1459,1459
0.00355,M2,0.01814,1575,0,1575,1546,1546
0.00370,,0.01887,1431,0,1431,1405,1405
0.00385,,0.01963,1302,0,1302,1279,1279
0.00385,M1,0.01963,1359,0,1359,1335,1335
0.0040,,0.02037,1242,0,1242,1221,1221
0.0050,,0.02515,722.2,0,722.2,712.6,712.4
0.0060,,0.0297,459.9,0,459.9,454.8,454.6
0.0080,,0.03807,222.6,0,222.7,220.8,220.7
0.0100,,0.0454,125.6,0,125.7,124.8,124.7
0.01304,,0.05441,63.11,0,63.16,62.79,62.7
0.01304,L3,0.05441,158.2,0,158.2,129.2,129.1
0.0150,,0.0592,108.2,0,108.3,91.08,91
0.01520,,0.05965,104.5,0,104.5,88.15,88.07
0.01520,L2,0.05965,145.1,0,145.2,113.2,113.1
0.01553,,0.06038,138.4,0,138.4,108.4,108.3
0.01586,,0.0611,131.2,0,131.3,103.3,103.2
0.01586,L1,0.0611,151.7,0,151.7,118.1,118
0.0200,,0.06897,83.95,0,84.02,69.06,68.99
0.0300,,0.08228,28.86,0,28.94,25.42,25.36
0.0400,,0.09019,13.35,0,13.44,12.16,12.11
0.0500,,0.09478,7.291,0,7.386,6.776,6.74
0.0600,,0.09734,4.433,0,4.531,4.178,4.149
0.0800,,0.09922,2.012,0,2.112,1.934,1.916
0.08800,,0.09928,1.547,0,1.647,1.497,1.482
0.08800,K,0.09928,7.32,0,7.42,2.175,2.16
0.100,,0.09893,5.238,0,5.337,1.99,1.976
0.150,,0.09484,1.815,0,1.91,1.069,1.056
0.200,,0.08966,0.8463,0,0.9359,0.5975,0.587
0.300,,0.08036,0.2928,0,0.3732,0.2525,0.2455
0.400,,0.0731,0.1417,0,0.2148,0.1419,0.137
0.500,,0.06734,0.08258,0,0.1499,0.09514,0.09128
0.600,,0.06263,0.05407,0,0.1167,0.07143,0.06819
0.800,,0.05537,0.02871,0,0.08408,0.04911,0.04644
1.00,,0.04993,0.01809,0,0.06803,0.03896,0.03654
1.25,,0.04476,0.01169,0.0003781,0.05683,0.03226,0.02988
1.50,,0.04075,0.008321,0.001806,0.05087,0.02873,0.0264
2.00,,0.03482,0.005034,0.005449,0.0453,0.02604,0.0236
3.00,,0.02744,0.002631,0.01193,0.042,0.02629,0.02322
4.00,,0.0229,0.001723,0.01716,0.04178,0.02837,0.02449
5.00,,0.01978,0.001263,0.02155,0.0426,0.03082,0.026
6.00,,0.01749,0.0009893,0.02535,0.04382,0.03327,0.02744
8.00,,0.01431,0.0006845,0.03171,0.0467,0.03788,0.02989
10.0,,0.01219,0.0005202,0.03698,0.04969,0.04205,0.03181
15.0,,0.009021,0.0003229,0.04722,0.05656,0.05073,0.03478
20.0,,0.007243,0.0002334,0.05457,0.06205,0.05728,0.03595
30.0,,0.005272,0.0001497,0.06479,0.07022,0.06668,0.03594
40.0,,0.004188,0.0001101,0.0718,0.0761,0.07326,0.03481
50.0,,0.003496,8.699e-05,0.07697,0.08056,0.07818,0.03338
60.0,,0.003014,7.19e-05,0.08099,0.08408,0.08203,0.03193
80.0,,0.002376,5.339e-05,0.08691,0.08934,0.08772,0.02925
100.0,,0.001972,4.243e-05,0.09108,0.0931,0.09176,0.02697
