E_MeV,edge,mu_c_cm2_g,mu_ph_cm2_g,mu_pp_cm2_g,mu_cm2_g,mu_tr_cm2_g,mu_en_cm2_g
0.0010,,0.01319,4076,0,4076,4065,4065
0.0015,,0.02673,1375,0,1375,1372,1372
0.0020,,0.04184,616.1,0,616.1,615.2,615.2
0.0030,,0.07075,191.9,0,191.9,191.7,191.7
0.0040,,0.0943,81.98,0,82.07,81.92,81.91
0.0050,,0.1123,41.91,0,42.03,41.89,41.88
0.0060,,0.1259,24.07,0,24.19,24.06,24.05
0.0080,,0.144,9.919,0,10.06,9.918,9.915
0.0100,,0.155,4.943,0,5.098,4.945,4.944
0.015,,0.1699,1.369,0,1.539,1.374,1.374
0.020,,0.1774,0.5437,0,0.7211,0.5505,0.5503
0.030,,0.1829,0.1457,0,0.3286,0.1557,0.1557
0.040,,0.1827,0.0568,0,0.2395,0.0695,0.06947
0.050,,0.1803,0.02725,0,0.2076,0.04225,0.04223
0.060,,0.177,0.01493,0,0.192,0.03191,0.0319
0.080,,0.1697,0.00577,0,0.1755,0.02598,0.02597
0.10,,0.1626,0.002762,0,0.1654,0.02547,0.02546
0.15,,0.1473,0.0007307,0,0.1481,0.02765,0.02764
0.20,,0.1353,0.0002887,0,0.1356,0.02969,0.02967
0.30,,0.1179,8.162e-05,0,0.118,0.03195,0.03192
0.40,,0.1058,3.495e-05,0,0.1058,0.03282,0.03279
0.50,,0.09663,1.884e-05,0,0.09664,0.03303,0.03299
0.60,,0.08939,1.173e-05,0,0.0894,0.03289,0.03284
0.80,,0.07856,5.92e-06,0,0.07857,0.03212,0.03206
1.00,,0.07066,3.68e-06,0,0.07066,0.03111,0.03103
1.25,,0.06318,2.394e-06,1.777e-05,0.0632,0.02974,0.02965
1.50,,0.05741,1.689e-06,9.82e-05,0.05751,0.02844,0.02833
2.00,,0.04901,1.063e-06,0.0003908,0.0494,0.02621,0.02608
3.00,,0.03855,5.937e-07,0.001131,0.03968,0.023,0.02281
4.00,,0.03216,4.075e-07,0.001867,0.03402,0.02091,0.02066
5.00,,0.02777,3.089e-07,0.00254,0.03031,0.01946,0.01915
6.00,,0.02454,2.484e-07,0.003155,0.0277,0.01843,0.01806
8.00,,0.02008,1.78e-07,0.004211,0.02429,0.01707,0.01658
10.0,,0.0171,1.386e-07,0.00509,0.02219,0.01626,0.01566
15.0,,0.01266,8.905e-08,0.006754,0.01941,0.01528,0.01441
20.0,,0.01016,6.555e-08,0.007974,0.01813,0.01495,0.01382
30.0,,0.007395,4.289e-08,0.009709,0.0171,0.0149,0.01327
40.0,,0.005875,3.186e-08,0.01091,0.01679,0.0151,0.01298
50.0,,0.004906,2.534e-08,0.01183,0.01674,0.01537,0.01279
60.0,,0.004225,2.104e-08,0.01256,0.01679,0.01563,0.01261
80.0,,0.003333,1.57e-08,0.01368,0.01701,0.01613,0.01228
100.0,,0.002767,1.253e-08,0.0145,0.01727,0.01655,0.01194
100.0,,0.002767,1.253e-08,0.0145,0.01727,0.01655,0.01194
