nuclide,half_life,group,freq_pct,E_avg_keV,E_max_keV,E_keV
3H,12.33 y,beta,100,5.67,18.6,
11C,20.39 min,positron,99.76,385.6,960.1,
11C,20.39 min,gamma_xray,199.52,,,511
14C,5730 y,beta,100,49.5,156.5,
13N,9.965 min,positron,99.82,491.8,1198.5,
13N,9.965 min,gamma_xray,199.64,,,511
16N,7.13 s,beta,4.9,1461.5,3301.9,
16N,7.13 s,beta,68,1941.2,4288.3,
16N,7.13 s,beta,26,4979.2,10419,
16N,7.13 s,gamma_xray,69,,,6129.2
16N,7.13 s,gamma_xray,5,,,7115.1
15O,122.24 s,positron,99.89,735.3,1731.8,
15O,122.24 s,gamma_xray,199.77,,,511
19O,26.91 s,beta,56.06,1442.7,3264.8,
19O,26.91 s,beta,39.77,2103.5,4621.6,
19O,26.91 s,beta,3.83,2216.1,4818.8,
19O,26.91 s,gamma_xray,3.45,,,110
19O,26.91 s,gamma_xray,90.34,,,197
19O,26.91 s,gamma_xray,50.34,,,1356
19O,26.91 s,gamma_xray,3.35,,,1444
19O,26.91 s,gamma_xray,2.2,,,1550
18F,109.77 min,positron,100,249.8,633.5,
18F,109.77 min,gamma_xray,200,,,511
22Na,2.602 y,positron,89.84,215.4,545.5,
22Na,continued,gamma_xray,179.8,,,511
22Na,continued,gamma_xray,99.94,,,1274.5
24Na,15.020 h,beta,99.94,553.8,1390.2,
24Na,15.020 h,gamma_xray,100,,,1368.5
24Na,15.020 h,gamma_xray,99.94,,,2754.1
32P,14.26 d,beta,100,694.7,1710.4,
35S,87.44 d,beta,100,48.8,167.5,
35S,87.44 d,beta,36,,,5
16Cl,3.01 x 10 y,beta,98.1,278.8,709.5,
38Cl,37.21 min,beta,32.53,420.1,1107.2,
38Cl,37.21 min,beta,11.41,1181.4,2749.6,
38Cl,37.21 min,beta,56.06,2244,4917.2,
38Cl,37.21 min,gamma_xray,32.5,,,1642.4
38Cl,37.21 min,gamma_xray,44,,,2167.5
41Ar,1.827 h,beta,99.17,459,1198.1,
41Ar,1.827 h,gamma_xray,99.16,,,1293.6
38K,7.636 min,positron,99.29,1216.5,2733.4,
38K,7.636 min,gamma_xray,198.93,,,511
38K,7.636 min,gamma_xray,99.8,,,2167
38K,7.636 min,gamma_xray,40,,,9
19K,1.28 x 10 y,beta,89.3,585,1311.6,
40K,continued,gamma_xray,10.7,,,1460.7
42K,12.36 h,beta,17.49,822,1996.4,
42K,12.36 h,beta,82.07,1563.7,3521.1,
42K,12.36 h,gamma_xray,17.9,,,1524.7
43K,22.6 h,beta,2.24,136.9,422.4,
43K,22.6 h,beta,91.97,297.9,826.7,
43K,22.6 h,beta,3.69,469.1,1223.6,
43K,22.6 h,beta,1.3,761.5,1817,
43K,22.6 h,gamma_xray,4.11,,,220.6
