nuclide,half_life,group,keV_per_decay,incomplete
3H,12.33 y,beta,5.67,
11C,20.39 min,positron,384.6,
11C,20.39 min,gamma_xray,1019.5,
14C,5730 y,beta,49.5,
13N,9.965 min,positron,490.9,
13N,9.965 min,conversion_auger_electron,0.000461,yes
13N,9.965 min,gamma_xray,1020.2,
16N,7.13 s,beta,2692.7,
16N,7.13 s,gamma_xray,4618.2,
15O,122.24 s,positron,734.5,
15O,122.24 s,conversion_auger_electron,4.15e-06,yes
15O,122.24 s,gamma_xray,1020.8,
19O,26.91 s,beta,1732.7,
19O,26.91 s,conversion_auger_electron,0.431,yes
19O,26.91 s,gamma_xray,957,
18F,109.77 min,positron,249.8,
18F,109.77 min,gamma_xray,1022,
22Na,2.602 y,positron,194,
22Na,2.602 y,conversion_auger_electron,0.088,yes
22Na,continued,gamma_xray,2192.6,
24Na,15.020 h,beta,553.5,
24Na,15.020 h,conversion_auger_electron,0.021,yes
24Na,15.020 h,gamma_xray,4123.1,
32P,14.26 d,beta,694.7,
35S,87.44 d,beta,48.8,
16Cl,3.01 x 10 y,positron,0.009,yes
16Cl,3.01 x 10 y,beta,273.5,
16Cl,3.01 x 10 y,conversion_auger_electron,0.033,yes
16Cl,3.01 x 10 y,gamma_xray,0.155,yes
38Cl,37.21 min,beta,1529.4,
38Cl,37.21 min,conversion_auger_electron,0.02,yes
38Cl,37.21 min,gamma_xray,1488.4,
41Ar,1.827 h,beta,463.7,
41Ar,1.827 h,conversion_auger_electron,0.089,yes
41Ar,1.827 h,gamma_xray,1283.6,
38K,7.636 min,positron,1208.5,
38K,7.636 min,conversion_auger_electron,0.041,yes
38K,7.636 min,gamma_xray,3186.9,
19K,1.28 x 10 y,beta,522.4,
19K,1.28 x 10 y,conversion_auger_electron,0.202,yes
40K,continued,gamma_xray,156.3,
42K,12.36 h,beta,1429.5,
42K,12.36 h,conversion_auger_electron,0.013,yes
42K,12.36 h,gamma_xray,275.9,
43K,22.6 h,beta,308.8,
43K,22.6 h,conversion_auger_electron,0.292,yes
43K,22.6 h,gamma_xray,970,
45Ca,163.8 d,beta,77.2,
45Ca,163.8 d,conversion_auger_electron,0.000222,yes
45Ca,163.8 d,gamma_xray,1.34e-05,yes
47Ca,4.536 d,beta,350.5,
47Ca,4.536 d,conversion_auger_electron,0.069,yes
47Ca,4.536 d,gamma_xray,1047.1,
46Sc,83.83 d,beta,112,
46Sc,83.83 d,conversion_auger_electron,0.247,yes
46Sc,83.83 d,gamma_xray,2009.5,
47Sc,3.345 d,beta,162.2,
47Sc,3.345 d,conversion_auger_electron,0.663,yes
47Sc,3.345 d,gamma_xray,108.2,
51Cr,27.704 d,conversion_auger_electron,3.87,yes
51Cr,27.704 d,gamma_xray,33.4,
54Mn,312.5 d,conversion_auger_electron,4.22,yes
54Mn,312.5 d,gamma_xray,836,
52Fe,8.275 h,positron,190.4,
52Fe,8.275 h,conversion_auger_electron,3.15,yes
52Fe,8.275 h,gamma_xray,740.5,
55Fe,2.73 y,conversion_auger_electron,4.2,yes
55Fe,2.73 y,gamma_xray,1.69,yes
59Fe,44.496 d,beta,117.5,
59Fe,44.496 d,conversion_auger_electron,0.252,yes
59Fe,continued,gamma_xray,1188.3,
57Co,271.80 d,conversion_auger_electron,18.6,yes
57Co,271.80 d,gamma_xray,125.3,
58Co,70.916 d,positron,30.2,
58Co,70.916 d,conversion_auger_electron,4.01,yes
58Co,70.916 d,gamma_xray,975.8,
60Co,5.2704 y,beta,96.1,
60Co,5.2704 y,conversion_auger_electron,0.359,yes
60Co,5.2704 y,gamma_xray,2504.5,
63Ni,100.1 y,beta,17.1,
62Zn,9.26 h,positron,21.7,
62Zn,9.26 h,conversion_auger_electron,10.9,yes
62Zn,9.26 h,gamma_xray,439,
65Zn,243.9 d,positron,2.02,
65Zn,243.9 d,conversion_auger_electron,4.79,yes
65Zn,243.9 d,gamma_xray,583.2,
69mZn,13.76 h,beta,0.096,yes
69mZn,continued,conversion_auger_electron,22.2,yes
69mZn,continued,gamma_xray,416.5,
66Ga,9.49 h,positron,981,
66Ga,9.49 h,conversion_auger_electron,2.31,yes
66Ga,9.49 h,gamma_xray,2454.6,yes
67Ga,3.261 d,conversion_auger_electron,34.4,yes
67Ga,3.261 d,gamma_xray,154.8,
68Ga,68.06 min,positron,738.8,
68Ga,68.06 min,conversion_auger_electron,0.544,yes
68Ga,68.06 min,gamma_xray,947.4,
72Ga,14.10 h,beta,497.8,
72Ga,14.10 h,conversion_auger_electron,4.23,yes
72Ga,14.10 h,gamma_xray,2724.2,
72As,26.0 h,positron,1021.3,
72As,26.0 h,conversion_auger_electron,12,yes
72As,26.0 h,gamma_xray,1776.4,yes
74As,17.76 d,positron,128.6,
74As,17.76 d,beta,137.1,
74As,17.76 d,conversion_auger_electron,2.49,yes
74As,17.76 d,gamma_xray,758.5,
76As,26.32 h,beta,1063.8,
76As,continued,conversion_auger_electron,0.578,yes
76As,continued,gamma_xray,430,yes
74Se,119.770 d,conversion_auger_electron,14.7,yes
74Se,119.770 d,gamma_xray,391.7,
76Br,16.2 h,positron,642.1,
76Br,16.2 h,conversion_auger_electron,3.57,yes
76Br,16.2 h,gamma_xray,2790.4,yes
77Br,57.036 h,positron,1.14,yes
77Br,57.036 h,conversion_auger_electron,8.36,yes
77Br,continued,gamma_xray,331.4,yes
82Br,35.30 h,beta,137,
82Br,35.30 h,conversion_auger_electron,2.06,yes
82Br,35.30 h,gamma_xray,2642,
81mKr,13 s,conversion_auger_electron,59,
81mKr,13 s,gamma_xray,130,
85mKr,4.480 h,beta,229.3,
85mKr,4.480 h,conversion_auger_electron,26.1,yes
85mKr,4.480 h,gamma_xray,156.7,
85Kr,10.72 y,beta,250.5,
85Kr,10.72 y,conversion_auger_electron,0.016,yes
85Kr,10.72 y,gamma_xray,2.24,yes
87Kr,76.3 min,beta,1322.9,
87Kr,76.3 min,conversion_auger_electron,0.899,yes
87Kr,76.3 min,gamma_xray,793.1,yes
88Kr,2.84 h,beta,358.6,
88Kr,2.84 h,conversion_auger_electron,5.7,yes
88Kr,continued,gamma_xray,1954.6,yes
89Kr,3.16 m,beta,1360.7,yes
