name,symbol,value,units,source
Universal gas constant,Rbar,8.314,kJ/kmol-K,Moran Eq. 3.22 (§3.11.1 p.127)
Universal gas constant,Rbar,1.986,Btu/lbmol-degR,Moran Eq. 3.22 (§3.11.1 p.127)
Universal gas constant,Rbar,1545,ft-lbf/lbmol-degR,Moran Eq. 3.22 (§3.11.1 p.127)
Standard acceleration of gravity,g,9.80665,m/s2,Moran front matter
Standard acceleration of gravity,g,32.174,ft/s2,Moran front matter
Standard atmosphere,atm,101.325,kPa,Moran front matter
Standard atmosphere,atm,14.696,lbf/in2,Moran front matter
Gravitational constant (English),gc,32.174,lb-ft/(lbf-s2),Moran §1.4
Avogadro number,N_A,6.02214e23,1/mol,CODATA
Boltzmann constant,k_B,1.380649e-23,J/K,CODATA (k_B = Rbar/N_A)
Absolute zero,T0,-273.15,degC,Moran §1.7.3
