P_bar,Tsat_C,T_C,v_m3kg,u_kJkg,h_kJkg,s_kJkgK,sat
0.06,36.16,36.16,23.739,2425.0,2567.4,8.3304,1
0.06,36.16,80,27.132,2487.3,2650.1,8.5804,0
0.06,36.16,120,30.219,2544.7,2726.0,8.7840,0
0.06,36.16,160,33.302,2602.7,2802.5,8.9693,0
0.06,36.16,200,36.383,2661.4,2879.7,9.1398,0
0.06,36.16,240,39.462,2721.0,2957.8,9.2982,0
0.06,36.16,280,42.540,2781.5,3036.8,9.4464,0
0.06,36.16,320,45.618,2843.0,3116.7,9.5859,0
0.06,36.16,360,48.696,2905.5,3197.7,9.7180,0
0.06,36.16,400,51.774,2969.0,3279.6,9.8435,0
0.06,36.16,440,54.851,3033.5,3362.6,9.9633,0
0.06,36.16,500,59.467,3132.3,3489.1,10.1336,0
0.35,72.69,72.69,4.526,2473.0,2631.4,7.7158,1
0.35,72.69,80,4.625,2483.7,2645.6,7.7564,0
0.35,72.69,120,5.163,2542.4,2723.1,7.9644,0
0.35,72.69,160,5.696,2601.2,2800.6,8.1519,0
0.35,72.69,200,6.228,2660.4,2878.4,8.3237,0
0.35,72.69,240,6.758,2720.3,2956.8,8.4828,0
0.35,72.69,280,7.287,2780.9,3036.0,8.6314,0
0.35,72.69,320,7.815,2842.5,3116.1,8.7712,0
0.35,72.69,360,8.344,2905.1,3197.1,8.9034,0
0.35,72.69,400,8.872,2968.6,3279.2,9.0291,0
0.35,72.69,440,9.400,3033.2,3362.2,9.1490,0
0.35,72.69,500,10.192,3132.1,3488.8,9.3194,0
0.70,89.95,89.95,2.365,2494.5,2660.0,7.4797,1
0.70,89.95,100,2.434,2509.7,2680.0,7.5341,0
0.70,89.95,120,2.571,2539.7,2719.6,7.6375,0
0.70,89.95,160,2.841,2599.4,2798.2,7.8279,0
0.70,89.95,200,3.108,2659.1,2876.7,8.0012,0
0.70,89.95,240,3.374,2719.3,2955.5,8.1611,0
0.70,89.95,280,3.640,2780.2,3035.0,8.3162,0
0.70,89.95,320,3.905,2842.0,3115.3,8.4504,0
0.70,89.95,360,4.170,2904.6,3196.5,8.5828,0
0.70,89.95,400,4.434,2968.2,3278.6,8.7086,0
0.70,89.95,440,4.698,3032.9,3361.8,8.8286,0
0.70,89.95,500,5.095,3131.8,3488.5,8.9991,0
1.0,99.63,99.63,1.694,2506.1,2675.5,7.3594,1
1.0,99.63,100,1.696,2506.7,2676.2,7.3614,0
1.0,99.63,120,1.793,2537.3,2716.6,7.4668,0
1.0,99.63,160,1.984,2597.8,2796.2,7.6597,0
1.0,99.63,200,2.172,2658.1,2875.3,7.8343,0
1.0,99.63,240,2.359,2718.5,2954.5,7.9949,0
1.0,99.63,280,2.546,2779.6,3034.2,8.1445,0
1.0,99.63,320,2.732,2841.5,3114.6,8.2849,0
1.0,99.63,360,2.917,2904.2,3195.9,8.4175,0
1.0,99.63,400,3.103,2967.9,3278.2,8.5435,0
1.0,99.63,440,3.288,3032.6,3361.4,8.6636,0
1.0,99.63,500,3.565,3131.6,3488.1,8.8342,0
1.5,111.37,111.37,1.159,2519.7,2693.6,7.2233,1
1.5,111.37,120,1.188,2533.3,2711.4,7.2693,0
1.5,111.37,160,1.317,2595.2,2792.8,7.4665,0
1.5,111.37,200,1.444,2656.2,2872.9,7.6433,0
1.5,111.37,240,1.570,2717.2,2952.7,7.8052,0
1.5,111.37,280,1.695,2778.6,3032.8,7.9555,0
1.5,111.37,320,1.819,2840.6,3113.5,8.0964,0
1.5,111.37,360,1.943,2903.5,3195.0,8.2293,0
1.5,111.37,400,2.067,2967.3,3277.4,8.3555,0
1.5,111.37,440,2.191,3032.1,3360.7,8.4757,0
1.5,111.37,500,2.376,3131.2,3487.6,8.6466,0
1.5,111.37,600,2.685,3301.7,3704.3,8.9101,0
3.0,133.55,133.55,0.606,2543.6,2725.3,6.9919,1
3.0,133.55,160,0.651,2587.1,2782.3,7.1276,0
3.0,133.55,200,0.716,2650.7,2865.5,7.3115,0
3.0,133.55,240,0.781,2713.1,2947.3,7.4774,0
3.0,133.55,280,0.844,2775.4,3028.6,7.6299,0
3.0,133.55,320,0.907,2838.1,3110.1,7.7722,0
3.0,133.55,360,0.969,2901.4,3192.2,7.9061,0
3.0,133.55,400,1.032,2965.6,3275.0,8.0330,0
3.0,133.55,440,1.094,3030.6,3358.7,8.1538,0
3.0,133.55,500,1.187,3130.0,3486.0,8.3251,0
