P_bar,Tsat_C,T_C,v_x1e3_m3kg,u_kJkg,h_kJkg,s_kJkgK,sat
25,223.99,20,1.0006,83.80,86.30,.2961,0
25,223.99,40,1.0067,167.25,169.77,.5715,0
25,223.99,80,1.0280,334.29,336.86,1.0737,0
25,223.99,100,1.0423,418.24,420.85,1.3050,0
25,223.99,140,1.0784,587.82,590.52,1.7369,0
25,223.99,180,1.1261,761.16,763.97,2.1375,0
25,223.99,200,1.1555,849.9,852.8,2.3294,0
25,223.99,220,1.1898,940.7,943.7,2.5174,0
25,223.99,223.99,1.1973,959.1,962.1,2.5546,1
50,263.99,20,.9995,83.65,88.65,.2956,0
50,263.99,40,1.0056,166.95,171.97,.5705,0
50,263.99,80,1.0268,333.72,338.85,1.0720,0
50,263.99,100,1.0410,417.52,422.72,1.3030,0
50,263.99,140,1.0768,586.76,592.15,1.7343,0
50,263.99,180,1.1240,759.63,765.25,2.1341,0
50,263.99,200,1.1530,848.1,853.9,2.3255,0
50,263.99,220,1.1866,938.4,944.4,2.5128,0
50,263.99,263.99,1.2859,1147.8,1154.2,2.9202,1
75,290.59,20,.9984,83.50,90.99,.2950,0
75,290.59,40,1.0045,166.64,174.18,.5696,0
75,290.59,80,1.0256,333.15,340.84,1.0704,0
75,290.59,100,1.0397,416.81,424.62,1.3011,0
75,290.59,140,1.0752,585.72,593.78,1.7317,0
75,290.59,180,1.1219,758.13,766.55,2.1308,0
75,290.59,220,1.1835,936.2,945.1,2.5083,0
75,290.59,260,1.2696,1124.4,1134.0,2.8763,0
75,290.59,290.59,1.3677,1282.0,1292.2,3.1649,1
100,311.06,20,.9972,83.36,93.33,.2945,0
100,311.06,40,1.0034,166.35,176.38,.5686,0
100,311.06,80,1.0245,332.59,342.83,1.0688,0
100,311.06,100,1.0385,416.12,426.50,1.2992,0
100,311.06,140,1.0737,584.68,595.42,1.7292,0
100,311.06,180,1.1199,756.65,767.84,2.1275,0
100,311.06,220,1.1805,934.1,945.9,2.5039,0
100,311.06,260,1.2645,1121.1,1133.7,2.8699,0
100,311.06,311.06,1.4524,1393.0,1407.6,3.3596,1
150,342.24,20,.9950,83.06,97.99,.2934,0
150,342.24,40,1.0013,165.76,180.78,.5666,0
150,342.24,80,1.0222,331.48,346.81,1.0656,0
150,342.24,100,1.0361,414.74,430.28,1.2955,0
150,342.24,140,1.0707,582.66,598.72,1.7242,0
150,342.24,180,1.1159,753.76,770.50,2.1210,0
150,342.24,220,1.1748,929.9,947.5,2.4953,0
150,342.24,260,1.2550,1114.6,1133.4,2.8576,0
150,342.24,300,1.3770,1316.6,1337.3,3.2260,0
150,342.24,342.24,1.6581,1585.6,1610.5,3.6848,1
200,365.81,20,.9928,82.77,102.62,.2923,0
200,365.81,40,.9992,165.17,185.16,.5646,0
200,365.81,80,1.0199,330.40,350.80,1.0624,0
200,365.81,100,1.0337,413.39,434.06,1.2917,0
200,365.81,140,1.0678,580.69,602.04,1.7193,0
200,365.81,180,1.1120,750.95,773.20,2.1147,0
200,365.81,220,1.1693,925.9,949.3,2.4870,0
200,365.81,260,1.2462,1108.6,1133.5,2.8459,0
200,365.81,300,1.3596,1306.1,1333.3,3.2071,0
200,365.81,365.81,2.036,1785.6,1826.3,4.0139,1
250,,20,.9907,82.47,107.24,.2911,0
250,,40,.9971,164.60,189.52,.5626,0
250,,100,1.0313,412.08,437.85,1.2881,0
250,,200,1.1344,834.5,862.8,2.2961,0
250,,300,1.3442,1296.6,1330.2,3.1900,0
300,,20,.9886,82.17,111.84,.2899,0
300,,40,.9951,164.04,193.89,.5607,0
300,,100,1.0290,410.78,441.66,1.2844,0
300,,200,1.1302,831.4,865.3,2.2893,0
300,,300,1.3304,1287.9,1327.8,3.1741,0
