T_C,P_kPa,vi_x1e3_m3kg,vg_m3kg,ui_kJkg,uig_kJkg,ug_kJkg,hi_kJkg,hig_kJkg,hg_kJkg,si_kJkgK,sig_kJkgK,sg_kJkgK
.01,0.6113,1.0908,206.1,-333.40,2708.7,2375.3,-333.40,2834.8,2501.4,-1.221,10.378,9.156
0,0.6108,1.0908,206.3,-333.43,2708.8,2375.3,-333.43,2834.8,2501.3,-1.221,10.378,9.157
-2,0.5176,1.0904,241.7,-337.62,2710.2,2372.6,-337.62,2835.3,2497.7,-1.237,10.456,9.219
-4,0.4375,1.0901,283.8,-341.78,2711.6,2369.8,-341.78,2835.7,2494.0,-1.253,10.536,9.283
-6,0.3689,1.0898,334.2,-345.91,2712.9,2367.0,-345.91,2836.2,2490.3,-1.268,10.616,9.348
-8,0.3102,1.0894,394.4,-350.02,2714.2,2364.2,-350.02,2836.6,2486.6,-1.284,10.698,9.414
-10,0.2602,1.0891,466.7,-354.09,2715.5,2361.4,-354.09,2837.0,2482.9,-1.299,10.781,9.481
-12,0.2176,1.0888,553.7,-358.14,2716.8,2358.7,-358.14,2837.3,2479.2,-1.315,10.865,9.550
-14,0.1815,1.0884,658.8,-362.15,2718.0,2355.9,-362.15,2837.6,2475.5,-1.331,10.950,9.619
-16,0.1510,1.0881,786.0,-366.14,2719.2,2353.1,-366.14,2837.9,2471.8,-1.346,11.036,9.690
-18,0.1252,1.0878,940.5,-370.10,2720.4,2350.3,-370.10,2838.2,2468.1,-1.362,11.123,9.762
-20,0.1035,1.0874,1128.6,-374.03,2721.6,2347.5,-374.03,2838.4,2464.3,-1.377,11.212,9.835
-22,0.0853,1.0871,1358.4,-377.93,2722.7,2344.7,-377.93,2838.6,2460.6,-1.393,11.302,9.909
-24,0.0701,1.0868,1640.1,-381.80,2723.7,2342.0,-381.80,2838.7,2456.9,-1.408,11.394,9.985
-26,0.0574,1.0864,1986.4,-385.64,2724.8,2339.2,-385.64,2838.9,2453.2,-1.424,11.486,10.062
-28,0.0469,1.0861,2413.7,-389.45,2725.8,2336.4,-389.45,2839.0,2449.5,-1.439,11.580,10.141
-30,0.0381,1.0858,2943,-393.23,2726.8,2333.6,-393.23,2839.0,2445.8,-1.455,11.676,10.221
-32,0.0309,1.0854,3600,-396.98,2727.8,2330.8,-396.98,2839.1,2442.1,-1.471,11.773,10.303
-34,0.0250,1.0851,4419,-400.71,2728.7,2328.0,-400.71,2839.1,2438.4,-1.486,11.872,10.386
-36,0.0201,1.0848,5444,-404.40,2729.6,2325.2,-404.40,2839.1,2434.7,-1.501,11.972,10.470
-38,0.0161,1.0844,6731,-408.06,2730.5,2322.4,-408.06,2839.0,2430.9,-1.517,12.073,10.556
-40,0.0129,1.0841,8354,-411.70,2731.3,2319.6,-411.70,2838.9,2427.2,-1.532,12.176,10.644
